-120,0.067595,0.01,0;-120,-0.037917,0.01,0;-120,-0.0016571,0.01,0;-120,0.040819,0.01,0;-120,-0.016435,0.01,0;-120,-0.010494,0.01,0;-120,-0.026231,0.01,0;-120,0.061614,0.01,0;-120,-0.031307,0.01,0;-120,0.030713,0.01,0;-120,0.034323,0.01,0;-120,-0.034882,0.01,0;-120,-0.10724,0.01,0;
-120,0.0004583,0.01,0;-120,-0.011375,0.01,0;-120,0.015517,0.01,0;-120,0.014277,0.01,0;-120,-0.035171,0.01,0;-120,-0.026107,0.01,0;-120,0.037783,0.01,0;-120,-0.018013,0.01,0;-120,0.074862,0.01,0;-120,0.022906,0.01,0;-120,0.0030966,0.01,0;-120,0.011957,0.01,0;-120,0.042642,0.01,0;
-120,0.0035809,0.01,0;-120,0.0073608,0.01,0;-120,0.015517,0.01,0;-120,0.045503,0.01,0;-120,-0.01019,0.01,0;-120,-0.032352,0.01,0;-120,0.031538,0.01,0;-120,0.041317,0.01,0;-120,-0.039114,0.01,0;-120,0.021345,0.01,0;-120,-0.018762,0.01,0;-120,-0.019269,0.01,0;-120,-0.036985,0.01,0;
-120,-0.047942,0.01,0;-120,0.029219,0.01,0;-120,-0.020393,0.01,0;-120,-0.026317,0.01,0;-120,-0.036732,0.01,0;-120,-0.090121,0.01,0;-120,0.02217,0.01,0;-120,-0.0055224,0.01,0;-120,0.054565,0.01,0;-120,0.021345,0.01,0;-120,0.010903,0.01,0;-120,-0.00053328,0.01,0;-120,-0.0088814,0.01,0;
-120,-0.0042256,0.01,0;-120,0.032342,0.01,0;-120,0.028008,0.01,0;-120,-0.0013363,0.01,0;-120,0.04914,0.01,0;-120,0.0098032,0.01,0;-120,-0.0090564,0.01,0;-120,0.00072286,0.01,0;-120,-0.0047652,0.01,0;-120,-0.0036361,0.01,0;-120,0.01871,0.01,0;-120,-0.038005,0.01,0;-120,0.012977,0.01,0;
-120,-0.041697,0.01,0;-120,0.0042381,0.01,0;-120,-0.0094637,0.01,0;-120,-0.04193,0.01,0;-120,-0.025803,0.01,0;-120,-0.060456,0.01,0;-120,-0.0043725,0.01,0;-120,0.097524,0.01,0;-120,0.0077253,0.01,0;-120,-0.014565,0.01,0;-120,0.029639,0.01,0;-120,-0.027076,0.01,0;-120,-0.0057588,0.01,0;
-120,-0.0214,0.01,0;-120,0.010483,0.01,0;-120,0.093583,0.01,0;-120,-0.074718,0.01,0;-120,0.044456,0.01,0;-120,0.0019967,0.01,0;-120,0.036222,0.01,0;-120,-0.039871,0.01,0;-120,0.065494,0.01,0;-120,-0.023933,0.01,0;-120,-0.0093939,0.01,0;-120,-0.0067785,0.01,0;-120,0.030151,0.01,0;
-120,-0.012032,0.01,0;-120,0.024535,0.01,0;-120,-0.0063411,0.01,0;-120,-0.004459,0.01,0;-120,-0.047661,0.01,0;-120,-0.043281,0.01,0;-120,-0.027792,0.01,0;-120,0.081911,0.01,0;-120,0.023338,0.01,0;-120,0.036958,0.01,0;-120,0.0093418,0.01,0;-120,-0.048934,0.01,0;-120,0.014538,0.01,0;
-120,-0.060433,0.01,0;-120,-0.0082523,0.01,0;-120,0.056111,0.01,0;-120,-0.066911,0.01,0;-120,0.017914,0.01,0;-120,0.0301,0.01,0;-120,0.029976,0.01,0;-120,-0.077343,0.01,0;-120,0.11389,0.01,0;-120,0.024467,0.01,0;-120,-0.014078,0.01,0;-120,0.0072733,0.01,0;-120,0.075429,0.01,0;
-120,-0.0089096,0.01,0;-120,0.012045,0.01,0;-120,-0.028199,0.01,0;-120,-0.02944,0.01,0;-120,-0.021119,0.01,0;-120,-0.027668,0.01,0;-120,-0.040283,0.01,0;-120,0.052246,0.01,0;-120,-0.031307,0.01,0;-120,-0.014565,0.01,0;-120,-2.6034e-05,0.01,0;-120,-0.052057,0.01,0;-120,-0.035424,0.01,0;
-120,-0.015155,0.01,0;-120,0.046394,0.01,0;-120,0.017079,0.01,0;-120,-0.080963,0.01,0;-120,0.0038621,0.01,0;-120,-0.010494,0.01,0;-120,-0.010618,0.01,0;-120,-0.09764,0.01,0;-120,0.0733,0.01,0;-120,-0.027056,0.01,0;-120,-0.025007,0.01,0;-120,0.05099,0.01,0;-120,0.016099,0.01,0;
-120,0.033246,0.01,0;-120,0.026096,0.01,0;-120,-0.078161,0.01,0;-120,0.04238,0.01,0;-120,0.0085461,0.01,0;-120,0.01761,0.01,0;-120,-0.032476,0.01,0;-120,0.035072,0.01,0;-120,-0.028185,0.01,0;-120,-0.00832,0.01,0;-120,-0.029691,0.01,0;-120,0.026009,0.01,0;-120,-0.099437,0.01,0;
